population,short.description,year,group,total,flag_for_publishing,total.low.CI,total.high.CI,male,male_flag_for_publishing,male.low.CI,male.high.CI,female,female_flag_for_publishing,female.low.CI,female.high.CI,estimated.number,estimated.number.low.CI,estimated.number.high.CI
adults,Fair or poor self-rated health,2021,Total,11.6,,10.2,13.1,11.2,,9.3,13.5,11.9,,10.4,13.6,482000,425000,539000
adults,Fair or poor self-rated health,2021,15-24,8.7,,5.8,12.6,6.3,,3.5,10.4,11.3,,6.3,18.2,56000,36000,76000
adults,Fair or poor self-rated health,2021,25-34,12,,9,15.6,11.2,,6.8,16.9,12.9,,8.8,17.9,90000,66000,113000
adults,Fair or poor self-rated health,2021,35-44,11.1,,8.4,14.2,10.9,,7.2,15.5,11.3,,7.7,15.6,73000,55000,91000
adults,Fair or poor self-rated health,2021,45-54,12.2,,8.7,16.5,12.3,,7.3,18.9,12.1,,8.5,16.5,79000,55000,103000
adults,Fair or poor self-rated health,2021,55-64,13.6,,10.5,17.1,13.9,,9.2,19.8,13.2,,9.6,17.6,85000,65000,104000
adults,Fair or poor self-rated health,2021,65-74,11.4,,8.4,14.9,13.4,,8.5,19.8,9.5,,6.2,13.7,54000,39000,69000
adults,Fair or poor self-rated health,2021,75+,12.6,,9.5,16.4,12.2,,7.8,17.8,13,,8.6,18.6,45000,34000,57000
adults,Fair or poor self-rated health,2021,Māori,18.7,,14.8,23.2,18.3,,12,26.2,19.1,,14.5,24.3,114000,89000,138000
adults,Fair or poor self-rated health,2021,Pacific,16.6,,10.4,24.5,17.1,,8.4,29.6,16.1,,8.7,26.4,45000,27000,63000
adults,Fair or poor self-rated health,2021,Asian,8.4,,5.5,12.1,9.3,,5.1,15.2,7.4,,3.9,12.5,53000,33000,72000
adults,Fair or poor self-rated health,2021,European/Other,11.3,,9.7,13.1,10.8,,8.5,13.5,11.8,,9.9,13.9,355000,304000,407000
adults,Fair or poor self-rated health,2021,Quintile 1,9,,6.2,12.4,6.4,,3.5,10.6,12.1,,7.6,18,73000,49000,97000
adults,Fair or poor self-rated health,2021,Quintile 2,8.7,,6.3,11.7,10.2,,6.5,15.1,7.2,,4.5,10.9,74000,53000,96000
adults,Fair or poor self-rated health,2021,Quintile 3,11.4,,8,15.8,13.7,,7.9,21.6,9.4,,5.9,14,96000,65000,126000
adults,Fair or poor self-rated health,2021,Quintile 4,12.9,,10.5,15.7,11.7,,8.7,15.3,14,,11.2,17.3,108000,87000,130000
adults,Fair or poor self-rated health,2021,Quintile 5,16,,13.4,18.9,14.9,,11,19.5,17.1,,13.6,21,130000,109000,152000
adults,Fair or poor self-rated health,2021,Non-disabled,9.2,,7.9,10.5,9.2,,7.3,11.4,9.1,,7.7,10.7,347000,298000,395000
adults,Fair or poor self-rated health,2021,Disabled,37.4,,32,43,34.1,,26.4,42.5,40.2,,32.7,48.1,135000,108000,162000
adults,Self-rated health - excellent,2021,Total,12.8,,11.4,14.3,13.2,,11.1,15.6,12.4,,10.9,14,532000,474000,591000
adults,Self-rated health - excellent,2021,15-24,13.7,,9.3,19.1,16,,9.7,24.2,11.3,,7,17,88000,58000,117000
adults,Self-rated health - excellent,2021,25-34,11.6,,8.8,15,12.4,,8.1,17.8,10.9,,7.6,15,87000,65000,109000
adults,Self-rated health - excellent,2021,35-44,10.3,,7.6,13.5,8.9,,5.1,14.2,11.7,,7.9,16.5,68000,49000,87000
adults,Self-rated health - excellent,2021,45-54,16.7,,12.1,22.1,17.1,,10.9,25,16.2,,11.1,22.5,108000,77000,139000
adults,Self-rated health - excellent,2021,55-64,12,,9.1,15.4,12.7,,7.8,19.1,11.3,,7.8,15.8,75000,56000,94000
adults,Self-rated health - excellent,2021,65-74,13.4,,10.2,17.3,14.1,,9.2,20.3,12.8,,8.7,18,64000,48000,80000
adults,Self-rated health - excellent,2021,75+,12,,8.9,15.7,10.7,,6,17.2,13,,8.8,18.2,43000,31000,55000
adults,Self-rated health - excellent,2021,Māori,8.7,,6.3,11.5,8.3,,5.1,12.7,9,,5.7,13.2,53000,38000,67000
adults,Self-rated health - excellent,2021,Pacific,12.1,,7.3,18.6,11.3,e,4.3,23,12.8,,6.7,21.3,33000,19000,48000
adults,Self-rated health - excellent,2021,Asian,12.3,,9.3,15.8,13.6,,8.7,19.8,10.9,,7.2,15.6,77000,58000,97000
adults,Self-rated health - excellent,2021,European/Other,13.1,,11.5,14.8,13,,10.7,15.7,13.2,,11.4,15.1,411000,360000,462000
adults,Self-rated health - excellent,2021,Quintile 1,13.4,,9.3,18.4,12.2,,7.3,18.6,14.8,,9.5,21.8,109000,74000,144000
adults,Self-rated health - excellent,2021,Quintile 2,13.6,,11.2,16.4,15.4,,11,20.7,11.9,,8.8,15.6,116000,95000,138000
adults,Self-rated health - excellent,2021,Quintile 3,15.4,,12.2,19,16.3,,10.9,23,14.5,,11.3,18.2,128000,101000,156000
adults,Self-rated health - excellent,2021,Quintile 4,13.2,,10.2,16.6,13.2,,9.7,17.3,13.2,,9.7,17.3,110000,85000,136000
adults,Self-rated health - excellent,2021,Quintile 5,8.4,,6.5,10.6,9.2,,5.8,13.6,7.7,,5.3,10.6,68000,52000,84000
adults,Self-rated health - excellent,2021,Non-disabled,13.6,,12.1,15.2,14.2,,12,16.7,12.9,,11.4,14.7,514000,457000,571000
adults,Self-rated health - excellent,2021,Disabled,5.1,,2.9,8.2,2.6,e,0.4,8.3,7.2,,3.9,11.9,18000,9000,27000
adults,Self-rated health - very good,2021,Total,41.4,,39.2,43.5,41.1,,38,44.2,41.7,,39,44.4,1719000,1631000,1807000
adults,Self-rated health - very good,2021,15-24,44.5,,38.2,50.9,48.1,,38.7,57.5,40.7,,32.4,49.5,285000,246000,325000
adults,Self-rated health - very good,2021,25-34,38.7,,33.8,43.9,38,,31.1,45.2,39.5,,32.9,46.3,289000,252000,325000
adults,Self-rated health - very good,2021,35-44,39.5,,35.3,43.9,40.4,,34.2,46.8,38.7,,32.6,45.1,261000,233000,289000
adults,Self-rated health - very good,2021,45-54,41.5,,35.8,47.4,41.8,,33.8,50.1,41.3,,34.5,48.3,270000,233000,306000
adults,Self-rated health - very good,2021,55-64,37.4,,32.5,42.4,34.2,,27.2,41.8,40.3,,35.1,45.7,233000,203000,263000
adults,Self-rated health - very good,2021,65-74,45.4,,40.3,50.6,42.3,,34.8,50,48.4,,41.5,55.4,216000,192000,240000
adults,Self-rated health - very good,2021,75+,45.9,,40.3,51.6,45.2,,36,54.6,46.5,,40.2,52.9,165000,145000,184000
adults,Self-rated health - very good,2021,Māori,36.9,,31.9,42.2,34.6,,26.5,43.5,39.1,,33.4,44.9,224000,194000,255000
adults,Self-rated health - very good,2021,Pacific,29.8,,22.6,37.8,29.8,,18.1,43.7,29.8,,21.2,39.7,81000,61000,101000
adults,Self-rated health - very good,2021,Asian,41.9,,36.5,47.6,45.4,,37.7,53.2,38.2,,31,45.9,264000,230000,297000
adults,Self-rated health - very good,2021,European/Other,42.7,,40.3,45.2,41.7,,38.1,45.4,43.7,,40.9,46.6,1342000,1265000,1419000
adults,Self-rated health - very good,2021,Quintile 1,42.9,,36.3,49.7,41.2,,31.2,51.8,44.9,,39,50.9,350000,294000,405000
adults,Self-rated health - very good,2021,Quintile 2,44.1,,40.7,47.5,43.2,,38.4,48,45,,39.3,50.7,376000,345000,406000
adults,Self-rated health - very good,2021,Quintile 3,43.7,,39.1,48.3,42,,34.8,49.5,45.2,,39.7,50.8,365000,328000,401000
adults,Self-rated health - very good,2021,Quintile 4,40.7,,36.3,45.2,43.6,,37.6,49.7,38.1,,32.4,44,341000,303000,380000
adults,Self-rated health - very good,2021,Quintile 5,35.3,,31.9,38.8,35.2,,29.8,40.8,35.5,,30,41.2,288000,257000,318000
adults,Self-rated health - very good,2021,Non-disabled,43.4,,41.1,45.7,42.7,,39.3,46.2,44.1,,41.1,47.1,1643000,1556000,1730000
adults,Self-rated health - very good,2021,Disabled,19.1,,14.3,24.6,21.3,,13.8,30.4,17.2,,11.6,24,69000,50000,88000
adults,Self-rated health - good,2021,Total,34.2,,32.2,36.2,34.4,,31.9,37,34,,31.4,36.7,1422000,1341000,1503000
adults,Self-rated health - good,2021,15-24,33.1,,27.6,38.9,29.6,,22.8,37.2,36.7,,27.9,46.1,212000,177000,247000
adults,Self-rated health - good,2021,25-34,37.6,,32,43.6,38.5,,31.8,45.5,36.8,,29.4,44.6,281000,239000,322000
adults,Self-rated health - good,2021,35-44,39.1,,34.1,44.2,39.9,,32.4,47.7,38.4,,31.6,45.5,258000,226000,290000
adults,Self-rated health - good,2021,45-54,29.6,,24.9,34.7,28.8,,22.1,36.3,30.4,,25.2,36.1,193000,162000,223000
adults,Self-rated health - good,2021,55-64,37.1,,33.1,41.1,39.2,,33.7,44.9,35.1,,30.3,40.1,231000,207000,255000
adults,Self-rated health - good,2021,65-74,29.8,,25.4,34.4,30.3,,24.5,36.5,29.3,,22.7,36.7,142000,121000,163000
adults,Self-rated health - good,2021,75+,29.5,,23.6,35.9,32,,23,42.1,27.5,,21.1,34.6,106000,85000,127000
adults,Self-rated health - good,2021,Māori,35.7,,31.5,40.2,38.7,,31.2,46.6,32.9,,27.5,38.6,217000,192000,243000
adults,Self-rated health - good,2021,Pacific,41.5,,33.3,50.1,41.8,,29.1,55.3,41.3,,31.6,51.5,113000,91000,135000
adults,Self-rated health - good,2021,Asian,37.4,,32.2,42.9,31.8,,24.9,39.3,43.5,,35.8,51.5,235000,203000,268000
adults,Self-rated health - good,2021,European/Other,32.9,,30.8,35,34.5,,31.4,37.6,31.3,,28.5,34.3,1033000,969000,1096000
adults,Self-rated health - good,2021,Quintile 1,34.7,,29.9,39.8,40.3,,33,47.9,28.1,,23.1,33.6,283000,247000,319000
adults,Self-rated health - good,2021,Quintile 2,33.6,,29.5,37.9,31.2,,25.2,37.7,35.9,,29.7,42.4,286000,250000,322000
adults,Self-rated health - good,2021,Quintile 3,29.5,,24.5,34.9,28,,21.8,34.7,30.9,,24.8,37.5,246000,203000,290000
adults,Self-rated health - good,2021,Quintile 4,33.2,,29.5,37.1,31.5,,26,37.4,34.7,,30.1,39.6,279000,249000,308000
adults,Self-rated health - good,2021,Quintile 5,40.3,,37.1,43.6,40.8,,36.4,45.4,39.8,,35.5,44.3,328000,301000,355000
adults,Self-rated health - good,2021,Non-disabled,33.8,,31.6,36.1,33.8,,31.1,36.6,33.9,,30.9,37,1281000,1198000,1364000
adults,Self-rated health - good,2021,Disabled,38.5,,33.4,43.8,42,,33,51.3,35.4,,28.4,43,139000,115000,163000
adults,Self-rated health - fair,2021,Total,9.6,,8.3,10.9,9.4,,7.6,11.5,9.7,,8.2,11.3,397000,346000,449000
adults,Self-rated health - fair,2021,15-24,7.5,,4.7,11.3,4.5,e,2.1,8.3,10.8,,5.8,17.8,48000,28000,68000
adults,Self-rated health - fair,2021,25-34,10.3,,7.3,13.9,10.2,,6,16,10.3,,6.5,15.3,77000,53000,100000
adults,Self-rated health - fair,2021,35-44,9.5,,6.7,12.9,9.1,,5.5,14.1,9.8,,6.4,14.1,63000,43000,82000
adults,Self-rated health - fair,2021,45-54,10.4,,7.2,14.3,11.5,,6.9,17.7,9.2,,6.1,13.2,67000,46000,89000
adults,Self-rated health - fair,2021,55-64,9.4,,7,12.2,9.7,,6.3,14.1,9,,6,12.9,58000,43000,74000
adults,Self-rated health - fair,2021,65-74,9.9,,6.9,13.5,12.3,,7.4,18.8,7.6,,4.6,11.7,47000,32000,62000
adults,Self-rated health - fair,2021,75+,10.3,,7.4,13.9,9.2,,5.8,13.9,11.2,,7,16.6,37000,26000,48000
adults,Self-rated health - fair,2021,Māori,14.6,,11,18.9,14.3,,8.6,21.8,15,,10.8,20,89000,66000,112000
adults,Self-rated health - fair,2021,Pacific,12.5,,7.2,19.7,13.6,e,5.3,26.7,11.5,e,5.2,21.1,34000,18000,50000
adults,Self-rated health - fair,2021,Asian,7.1,,4.7,10.2,8.5,,4.9,13.4,5.6,e,2.5,10.6,45000,28000,61000
adults,Self-rated health - fair,2021,European/Other,9.5,,8,11.1,9.1,,7,11.6,9.8,,8.1,11.8,298000,250000,345000
adults,Self-rated health - fair,2021,Quintile 1,6.9,,4.6,9.9,4.6,e,2.2,8.3,9.7,,5.5,15.4,56000,36000,77000
adults,Self-rated health - fair,2021,Quintile 2,7.1,,5.1,9.7,8.4,,5.3,12.5,5.9,,3.5,9.3,61000,42000,79000
adults,Self-rated health - fair,2021,Quintile 3,9.8,,6.4,14.2,12.6,,6.8,20.6,7.3,,4.1,11.8,82000,51000,112000
adults,Self-rated health - fair,2021,Quintile 4,11.5,,9.3,14,9.9,,6.9,13.5,12.9,,10.2,16.1,96000,76000,116000
adults,Self-rated health - fair,2021,Quintile 5,12.6,,10.3,15.1,12.3,,8.6,16.8,12.8,,10,16,102000,83000,122000
adults,Self-rated health - fair,2021,Non-disabled,7.9,,6.7,9.3,8.3,,6.5,10.3,7.6,,6.3,9.2,300000,254000,347000
adults,Self-rated health - fair,2021,Disabled,26.8,,22.3,31.7,22.6,,17,29,30.4,,23.2,38.5,97000,75000,119000
adults,Self-rated health - poor,2021,Total,2,,1.6,2.5,1.8,,1.3,2.6,2.2,,1.6,3,85000,67000,102000
adults,Self-rated health - poor,2021,15-24,1.2,e,0.5,2.6,1.9,e,0.7,4.1,NA,S,NA,NA,8000,2000,14000
adults,Self-rated health - poor,2021,25-34,1.7,,0.8,3.2,0.9,e,0.1,3.1,2.5,e,1,5.1,13000,5000,21000
adults,Self-rated health - poor,2021,35-44,1.6,e,0.8,2.9,1.7,e,0.5,4.1,1.5,e,0.5,3.2,10000,4000,17000
adults,Self-rated health - poor,2021,45-54,1.8,e,0.8,3.5,0.8,e,0.1,2.3,2.9,e,1.1,6,12000,4000,20000
adults,Self-rated health - poor,2021,55-64,4.2,,2.5,6.7,4.2,e,1.6,8.6,4.2,,2.2,7.3,26000,14000,38000
adults,Self-rated health - poor,2021,65-74,1.5,,0.8,2.5,1.1,e,0.3,2.6,1.8,e,0.8,3.5,7000,3000,11000
adults,Self-rated health - poor,2021,75+,2.3,e,1.1,4.3,2.9,e,0.8,7.5,1.8,e,0.6,4,8000,3000,14000
adults,Self-rated health - poor,2021,Māori,4.1,,2.6,6,4,,2,7.2,4.1,,2.3,6.8,25000,15000,34000
adults,Self-rated health - poor,2021,Pacific,4.1,e,1.6,8.4,3.5,e,0.8,9.8,4.6,e,1.1,12.1,11000,3000,19000
adults,Self-rated health - poor,2021,Asian,1.3,e,0.3,3.6,0.8,e,0,4,1.8,e,0.3,5.7,8000,0,17000
adults,Self-rated health - poor,2021,European/Other,1.8,,1.4,2.4,1.7,,1,2.6,2,,1.4,2.7,57000,43000,72000
adults,Self-rated health - poor,2021,Quintile 1,2.1,e,0.8,4.2,1.8,e,0.4,5.1,2.4,e,0.9,5.3,17000,5000,29000
adults,Self-rated health - poor,2021,Quintile 2,1.6,e,0.7,2.9,1.8,e,0.7,4,1.3,e,0.4,3.2,14000,5000,22000
adults,Self-rated health - poor,2021,Quintile 3,1.7,,0.8,3,1.1,e,0.4,2.6,2.1,e,0.8,4.4,14000,5000,22000
adults,Self-rated health - poor,2021,Quintile 4,1.4,,0.8,2.3,1.8,e,0.8,3.7,1.1,,0.5,2,12000,6000,18000
adults,Self-rated health - poor,2021,Quintile 5,3.5,,2.4,4.9,2.6,,1.3,4.5,4.3,,2.6,6.6,28000,19000,38000
adults,Self-rated health - poor,2021,Non-disabled,1.2,,0.9,1.7,1,,0.6,1.6,1.5,,0.9,2.2,46000,32000,60000
adults,Self-rated health - poor,2021,Disabled,10.6,,7.6,14.2,11.5,,6.6,18.3,9.8,,6.5,14,38000,26000,50000
children,"Excellent, very good or good parent-rated health",2021,Total,98,,96.9,98.8,97.3,,95.3,98.6,98.7,,97.6,99.4,946000,938000,955000
children,"Excellent, very good or good parent-rated health",2021,0-4,98.1,,96.2,99.2,97.1,,93.5,99,99.2,,97.5,99.9,299000,294000,303000
children,"Excellent, very good or good parent-rated health",2021,'5-9,99.4,,98.4,99.8,99.1,,97.2,99.9,99.7,,98.8,100,321000,319000,323000
children,"Excellent, very good or good parent-rated health",2021,'10-14,96.5,,93.7,98.3,95.7,,90.4,98.6,97.3,,94.1,99.1,327000,320000,334000
children,"Excellent, very good or good parent-rated health",2021,Māori,94.7,,91.2,97.1,92.3,,85.7,96.5,97.3,,93.6,99.1,251000,244000,258000
children,"Excellent, very good or good parent-rated health",2021,Pacific,97.9,,92.8,99.7,97.7,,88.8,99.9,98.1,,89.4,100,91000,67000,114000
children,"Excellent, very good or good parent-rated health",2021,Asian,99.2,,97.9,99.8,99.1,,97,99.9,99.3,,97.2,99.9,212000,178000,246000
children,"Excellent, very good or good parent-rated health",2021,European/Other,98.7,,97.6,99.3,98.4,,96.5,99.5,98.9,,97.4,99.7,659000,618000,701000
children,"Excellent, very good or good parent-rated health",2021,Quintile 1,99.5,,98.2,100,100,,NA,NA,99.1,,96.4,99.9,209000,188000,230000
children,"Excellent, very good or good parent-rated health",2021,Quintile 2,99.9,,99.3,100,100,,NA,NA,99.8,,98.6,100,172000,148000,196000
children,"Excellent, very good or good parent-rated health",2021,Quintile 3,98.9,,96.5,99.8,98.2,,94.1,99.7,100,,NA,NA,188000,162000,213000
children,"Excellent, very good or good parent-rated health",2021,Quintile 4,96.1,,91.8,98.6,93.6,,84.1,98.3,98.1,,94.2,99.7,178000,153000,202000
children,"Excellent, very good or good parent-rated health",2021,Quintile 5,95.6,,92.8,97.6,94.5,,89.8,97.5,96.9,,92.1,99.2,199000,173000,225000
children,Parent-rated health - very good,2021,Total,32.1,,29.2,35.2,33.1,,28.5,37.9,31.1,,27.4,34.9,310000,282000,338000
children,Parent-rated health - very good,2021,0-4,31.5,,25.5,38,32.4,,24.2,41.4,30.5,,22.5,39.6,96000,78000,114000
children,Parent-rated health - very good,2021,'5-9,32.1,,26.9,37.7,34.8,,26.4,43.9,29.3,,23.2,36.1,104000,87000,121000
children,Parent-rated health - very good,2021,'10-14,32.7,,27.4,38.2,32.1,,24.7,40.2,33.3,,25.9,41.3,111000,93000,128000
children,Parent-rated health - very good,2021,Māori,32,,25.8,38.7,33.4,,25.1,42.5,30.5,,22.3,39.8,85000,68000,101000
children,Parent-rated health - very good,2021,Pacific,33.8,,23.5,45.4,22.7,e,9.9,40.8,43.9,,28.4,60.4,31000,18000,45000
children,Parent-rated health - very good,2021,Asian,37.6,,31.6,43.9,39.8,,31.2,48.9,35.1,,24.9,46.5,80000,64000,97000
children,Parent-rated health - very good,2021,European/Other,28.1,,24.8,31.5,28.9,,23.2,35,27.2,,22.6,32.2,188000,165000,210000
children,Parent-rated health - very good,2021,Quintile 1,32.1,,25.8,39,29.6,,18.5,42.7,34.6,,27.8,42,68000,52000,83000
children,Parent-rated health - very good,2021,Quintile 2,33.3,,24.8,42.8,36.5,,23.6,51.1,30.3,,20.3,41.9,58000,40000,75000
children,Parent-rated health - very good,2021,Quintile 3,27.6,,21.5,34.4,32.8,,23,43.9,19.9,,11.2,31.2,52000,41000,64000
children,Parent-rated health - very good,2021,Quintile 4,30.5,,24,37.6,26.4,,17.4,37.1,33.7,,25,43.4,56000,42000,71000
children,Parent-rated health - very good,2021,Quintile 5,36.6,,30.3,43.2,38.9,,30.7,47.5,33.9,,25.5,43.2,76000,61000,91000
children,Parent-rated health - good,2021,Total,10.4,,8.3,12.8,11.1,,8.1,14.8,9.6,,7,12.7,100000,79000,121000
children,Parent-rated health - good,2021,0-4,8.2,,4.9,12.7,8.6,e,4.1,15.6,7.8,e,3.7,14.2,25000,14000,36000
children,Parent-rated health - good,2021,'5-9,11.1,,7.4,15.8,11.4,,6.1,18.9,10.7,,6.2,16.9,36000,23000,49000
children,Parent-rated health - good,2021,'10-14,11.6,,8.1,16.1,13.1,,8.3,19.3,10.1,,5.7,16.3,39000,27000,52000
children,Parent-rated health - good,2021,Māori,14.3,,10.2,19.3,14.2,,8.7,21.4,14.4,,8.6,22,38000,26000,49000
children,Parent-rated health - good,2021,Pacific,18.6,,10.8,28.8,21.3,e,10,36.9,16.1,e,6,32.1,17000,9000,26000
children,Parent-rated health - good,2021,Asian,10.5,,6.2,16.3,14.8,,7.7,24.9,5.6,e,2.8,10,22000,11000,34000
children,Parent-rated health - good,2021,European/Other,9.6,,7.1,12.5,10.1,,6.6,14.5,9,,5.9,13,64000,46000,82000
children,Parent-rated health - good,2021,Quintile 1,7.3,,3.7,12.8,8.1,e,2.7,17.9,6.6,e,1.6,16.7,15000,7000,24000
children,Parent-rated health - good,2021,Quintile 2,7.2,e,3.3,13.5,8.9,e,3.1,19.2,5.6,e,2.6,10.4,12000,5000,20000
children,Parent-rated health - good,2021,Quintile 3,13,,7.2,21,12.5,e,5.8,22.4,13.8,e,5.7,26.3,25000,12000,37000
children,Parent-rated health - good,2021,Quintile 4,11.3,,6.9,17.1,13.8,e,6.5,24.7,9.3,,4.8,15.9,21000,12000,30000
children,Parent-rated health - good,2021,Quintile 5,12.9,,9.3,17.1,12.2,,7.8,17.9,13.7,,8.3,20.7,27000,18000,35000
adults,Family wellbeing - high or very high (7 or more out of 10),2021,Total,83.2,,81.4,84.9,84.2,,81.6,86.5,82.2,,79.8,84.5,3414000,3341000,3486000
adults,Family wellbeing - high or very high (7 or more out of 10),2021,15-24,83.1,,77,88.2,85.3,,77.4,91.2,80.8,,72,87.8,529000,495000,563000
adults,Family wellbeing - high or very high (7 or more out of 10),2021,25-34,79.8,,75.7,83.5,79.9,,72.6,86,79.8,,73.5,85.1,591000,563000,619000
adults,Family wellbeing - high or very high (7 or more out of 10),2021,35-44,86.5,,83,89.5,86.8,,80.9,91.4,86.2,,81.2,90.3,568000,547000,590000
adults,Family wellbeing - high or very high (7 or more out of 10),2021,45-54,82.7,,78.6,86.3,84.5,,77.5,90,80.9,,75,86,532000,507000,556000
adults,Family wellbeing - high or very high (7 or more out of 10),2021,55-64,81.9,,78.3,85.2,82.5,,77.5,86.8,81.4,,76.5,85.6,503000,481000,524000
adults,Family wellbeing - high or very high (7 or more out of 10),2021,65-74,82.3,,77.8,86.2,83.5,,77.4,88.6,81,,74.7,86.4,386000,366000,405000
adults,Family wellbeing - high or very high (7 or more out of 10),2021,75+,88.7,,84.5,92,90.2,,84.6,94.2,87.5,,81.9,91.8,306000,293000,318000
adults,Family wellbeing - high or very high (7 or more out of 10),2021,Māori,79.4,,75.5,82.9,81.8,,75.2,87.3,77,,71.7,81.7,479000,457000,501000
adults,Family wellbeing - high or very high (7 or more out of 10),2021,Pacific,86,,79.3,91.2,92.5,,85.3,96.8,80.5,,68.9,89.3,233000,217000,249000
adults,Family wellbeing - high or very high (7 or more out of 10),2021,Asian,86,,80.7,90.3,87.4,,80.5,92.5,84.5,,77.9,89.8,535000,506000,565000
adults,Family wellbeing - high or very high (7 or more out of 10),2021,European/Other,82.7,,80.7,84.6,82.9,,80,85.6,82.5,,79.9,84.8,2562000,2498000,2625000
adults,Family wellbeing - high or very high (7 or more out of 10),2021,Quintile 1,84.8,,79.4,89.2,86.7,,79.4,92.1,82.5,,75,88.6,689000,649000,730000
adults,Family wellbeing - high or very high (7 or more out of 10),2021,Quintile 2,85.9,,82.5,88.8,86.6,,81.5,90.8,85.2,,80.6,89,726000,690000,762000
adults,Family wellbeing - high or very high (7 or more out of 10),2021,Quintile 3,83,,78.9,86.6,81.9,,75.7,87.2,83.9,,79.5,87.7,684000,646000,721000
adults,Family wellbeing - high or very high (7 or more out of 10),2021,Quintile 4,82.6,,79.2,85.6,83,,77.8,87.5,82.2,,77.9,85.9,683000,650000,716000
adults,Family wellbeing - high or very high (7 or more out of 10),2021,Quintile 5,79.5,,76.4,82.3,82,,77.7,85.8,77.1,,72.1,81.6,632000,603000,660000
adults,Family wellbeing - high or very high (7 or more out of 10),2021,Non-disabled,84.4,,82.6,86,84.8,,82.1,87.2,83.9,,81.7,86,3159000,3084000,3235000
adults,Family wellbeing - high or very high (7 or more out of 10),2021,Disabled,70.3,,63.6,76.5,76.7,,68.2,83.8,64.9,,55.5,73.4,245000,211000,278000
adults,Family wellbeing - very high (9 or more out of 10),2021,Total,33.1,,31.2,35.2,33.3,,30.4,36.4,33,,30.3,35.7,1360000,1279000,1441000
adults,Family wellbeing - very high (9 or more out of 10),2021,15-24,34.7,,29.6,40.2,39.7,,31.9,48,29.5,,21.9,37.9,221000,188000,254000
adults,Family wellbeing - very high (9 or more out of 10),2021,25-34,31.1,,27,35.5,28,,22.1,34.5,34.3,,27.7,41.4,231000,200000,261000
adults,Family wellbeing - very high (9 or more out of 10),2021,35-44,35.4,,31.3,39.6,33.8,,27.1,41.1,36.8,,30.8,43.2,232000,205000,259000
